timestamp,condition,duration_seconds,frame_count,no_face_frames,multi_face_frames,single_face_frames,aligned_frames,misaligned_frames,low_light_frames,blur_frames,too_far_frames,too_close_frames,accepted_normal_frames,accessory_frames,brightness_mean,brightness_min,brightness_max,sharpness_mean,sharpness_min,sharpness_max,face_width_ratio_mean,face_width_ratio_min,face_width_ratio_max,detector_counts,state_counts
2026-05-14T14:36:28,unspecified,12.3,361,22,0,339,339,0,0,0,0,0,4,335,74.40,63.46,94.93,825.01,302.36,1281.92,0.230,0.191,0.253,No face=22; YUNET=339,glasses=96; mask_glasses=239; normal=4
2026-05-14T14:38:07,unspecified,12.3,361,19,0,342,342,0,0,0,0,0,24,318,78.06,65.07,89.35,828.71,301.16,1390.56,0.228,0.178,0.269,No face=19; YUNET=342,glasses=85; mask_glasses=233; normal=24
2026-05-14T14:38:28,unspecified,12.3,361,155,0,206,206,0,0,0,0,0,14,192,95.64,81.99,110.75,595.18,362.32,993.31,0.249,0.212,0.281,No face=155; YUNET=206,glasses=74; mask=44; mask_glasses=74; normal=14
2026-05-14T16:10:11,unspecified,12.4,359,23,0,336,336,0,1,0,0,0,290,46,70.92,43.51,107.40,619.67,243.97,1077.46,0.244,0.206,0.287,No face=23; YUNET=336,glasses=46; normal=290
2026-05-14T19:52:10,real_mask_glasses,15.5,303,120,0,183,162,21,124,0,0,0,49,134,42.30,22.90,66.64,328.18,48.04,616.56,0.255,0.212,0.297,No face=120; YUNET=183,glasses=134; normal=49
2026-05-14T19:52:32,real_mask_glasses,15.4,313,62,0,251,251,0,0,10,0,0,251,0,85.46,58.64,119.90,230.17,11.10,918.67,0.257,0.175,0.412,HOG=31; No face=62; YUNET=220,normal=251
2026-05-14T19:53:21,real_mask_glasses,15.5,252,120,0,132,132,0,0,8,0,0,132,0,95.48,74.19,122.40,133.19,18.59,344.21,0.269,0.206,0.356,HOG=1; No face=120; YUNET=131,normal=132
2026-05-14T19:54:50,real_mask_glasses,15.5,226,155,0,71,69,2,0,0,0,0,70,1,107.73,98.66,131.80,539.62,105.83,1111.28,0.207,0.194,0.234,HOG=2; No face=155; YUNET=69,mask=1; normal=70
2026-05-14T19:55:31,real_mask_glasses,15.4,150,144,0,6,6,0,0,0,0,0,6,0,78.64,64.30,123.14,155.20,45.56,579.04,0.315,0.237,0.384,No face=144; YUNET=6,normal=6
2026-05-14T20:01:17,real_mask_glasses,12.5,257,85,0,172,172,0,0,0,0,0,169,3,98.13,81.12,119.37,592.36,166.03,1042.45,0.242,0.212,0.278,HOG=52; No face=85; YUNET=120,mask_glasses=3; normal=169
