timestamp,expected_name,condition,trial_index,frame_count,recognition_attempts,detector_counts,no_face_frames,multi_face_frames,single_face_frames,align_hint_frames,low_light_frames,blur_frames,too_far_frames,too_close_frames,brightness_mean,brightness_min,brightness_max,sharpness_mean,sharpness_min,sharpness_max,face_width_ratio_mean,face_width_ratio_min,face_width_ratio_max,distance_mean,distance_min,distance_max,final_name,final_confidence,final_backend,mode3_decision,expected_match
2026-05-14T14:16:24,,unspecified,1,107,14,DeepEmbedding_L2=21; No face=80; Unknown=6,80,0,27,0,0,0,0,0,78.60,71.71,104.34,736.58,184.22,949.61,0.232,0.225,0.241,0.2287,0.1122,0.3518,02,83.3,DeepEmbedding_L2,pass_direct,
2026-05-14T14:16:28,,unspecified,2,23,12,DeepEmbedding_L2=23,0,0,23,0,0,0,0,0,75.27,62.08,85.91,624.81,323.33,928.57,0.257,0.228,0.303,0.2461,0.1806,0.2824,02,75.1,DeepEmbedding_L2,pass_direct,
2026-05-14T14:16:32,,unspecified,3,27,14,DeepEmbedding_L2=27,0,0,27,0,0,0,0,0,65.46,65.10,65.95,542.08,512.96,577.29,0.303,0.303,0.303,0.1762,0.0882,0.3249,02,87.5,DeepEmbedding_L2,pass_direct,
2026-05-14T14:16:36,,unspecified,4,27,14,DeepEmbedding_L2=27,0,0,27,0,0,0,0,0,67.74,65.16,71.58,582.82,512.68,662.82,0.300,0.297,0.303,0.1697,0.1151,0.2162,02,81.0,DeepEmbedding_L2,pass_direct,
2026-05-14T14:16:41,,unspecified,5,27,14,DeepEmbedding_L2=27,0,0,27,0,0,0,0,0,69.08,67.96,71.58,596.10,551.03,627.33,0.302,0.294,0.309,0.1729,0.1403,0.2093,02,81.9,DeepEmbedding_L2,pass_direct,
2026-05-14T14:32:49,,unspecified,1,689,22,DeepEmbedding_L2=39; No face=636; TRACK=10; Unknown=4,636,0,53,0,2,8,0,0,73.11,34.79,84.50,488.30,8.75,1065.22,0.278,0.228,0.353,0.2701,0.0823,0.3957,02,79.2,DeepEmbedding_L2,pass_direct,
2026-05-14T14:32:54,,unspecified,2,25,13,DeepEmbedding_L2=25,0,0,25,0,0,0,0,0,79.28,74.50,92.61,680.73,382.16,1122.83,0.255,0.244,0.266,0.2592,0.1287,0.3518,02,69.4,DeepEmbedding_L2,pass_direct,
2026-05-14T14:33:57,,unspecified,3,1077,94,Confused_Margin=16; DeepEmbedding_L2=159; No face=890; Unknown=12,890,0,187,0,0,0,0,0,107.07,80.12,134.51,920.87,364.28,1622.80,0.220,0.166,0.247,0.2572,0.1601,0.4017,02,71.7,DeepEmbedding_L2,pass_direct,
2026-05-14T14:34:06,,unspecified,4,63,29,DeepEmbedding_L2=57; No face=6,6,0,57,0,0,0,0,0,113.19,104.50,128.25,1140.95,804.22,1426.66,0.234,0.216,0.256,0.2431,0.1675,0.3152,02,70.5,DeepEmbedding_L2,pass_direct,
2026-05-14T14:34:17,,unspecified,5,93,26,Confused_Margin=2; DeepEmbedding_L2=47; No face=42; Unknown=2,42,0,51,0,0,0,0,0,95.46,71.76,118.51,943.21,479.18,1259.60,0.234,0.222,0.247,0.2511,0.1983,0.3170,02,73.2,DeepEmbedding_L2,pass_direct,
