thoi_gian,hanh_dong,ten_tu,do_tin_cay,co_che_xac_thuc,trang_thai_sau,canh_bao,anh_su_kien,ghi_chu
2026-05-19T15:33:45,Dang ky thanh cong,01,100.0,Capture + PC Mode + Train,Dang su dung,Khong,event_snapshots\20260519_153345_register_success_01.jpg,Dang ky khuon mat va mo tu thanh cong cho Vat dung gui
2026-05-19T15:34:07,Lay do tam thoi,01,70.6,UpperFace_mask + PC Mode,Dang su dung,Khong,event_snapshots\20260519_153407_take_temporary_01.jpg,Lay do tam thoi thanh cong
2026-05-19T15:34:17,Lay do tam thoi,01,74.2,UpperFace_mask + PC Mode,Dang su dung,Khong,event_snapshots\20260519_153417_take_temporary_01.jpg,Lay do tam thoi thanh cong
2026-05-19T15:34:31,Lay do tam thoi,01,71.1,DeepEmbedding_L2 (glasses) + PC Mode,Dang su dung,Khong,event_snapshots\20260519_153431_take_temporary_01.jpg,Lay do tam thoi thanh cong
2026-05-19T15:34:41,Lay do tam thoi,01,81.4,DeepEmbedding_L2 + PC Mode,Dang su dung,Khong,event_snapshots\20260519_153441_take_temporary_01.jpg,Lay do tam thoi thanh cong
2026-05-19T17:29:56,Admin ep xoa,01,0.0,Unavailable,Con trong,Khong,,Admin da ep xoa du lieu tu 01; van tay khong san sang
2026-05-19T17:31:07,Dang ky thanh cong,01,100.0,Capture + PC Mode + Train,Dang su dung,Khong,event_snapshots\20260519_173107_register_success_01.jpg,Dang ky khuon mat va mo tu thanh cong cho Vat dung gui
2026-05-19T17:31:28,Admin ep xoa,01,0.0,Mode 3 PC,Con trong,Khong,,Admin da ep xoa du lieu tu 01; bo qua van tay (Mode 3)
2026-05-19T17:31:48,Dang ky thanh cong,01,100.0,Capture + PC Mode + Train,Dang su dung,Khong,event_snapshots\20260519_173148_register_success_01.jpg,Dang ky khuon mat va mo tu thanh cong cho Vat dung gui
2026-05-19T17:37:05,Admin ep xoa,01,0.0,Mode 3 PC,Con trong,Khong,,Admin da ep xoa du lieu tu 01; bo qua van tay (Mode 3)
2026-05-19T17:38:10,Dang ky thanh cong,01,100.0,Capture + PC Mode + Train,Dang su dung,Khong,event_snapshots\20260519_173810_register_success_01.jpg,Dang ky khuon mat va mo tu thanh cong cho Vat dung gui
